Location,Name,Description,Area,Beds,Baths,Price
Mostakbal City,"Apartment, Bloomfields",A 1 bedroom Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 76 m2 with 1 bathroom.,76,1,1,"6,279,000 
              EGP"
El Sheikh Zayed,"Apartment, ZED",A 3 bedrooms Apartment in ZED  by Ora Developers. The Apartment size is 161 m2 with 3 bathrooms.,161,3,3,"21,500,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 3 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 155 m2 with 3 bathrooms.,155,3,3,"17,462,000 
              EGP"
Ras El Hekma,"Villa, Hacienda West",A 3 bedrooms Villa in Hacienda West by Palm Hills Developments. The Villa size is 353 m2 with 4 bathrooms.,353,4,4,"72,826,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 1 bedroom Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 74 m2 with 1 bathroom.,74,1,1,"6,401,000 
              EGP"
El Sheikh Zayed,"Apartment, ZED",A 4 bedrooms Apartment in ZED  by Ora Developers. The Apartment size is 243 m2 with 4 bathrooms with a garden of 80 m2.,243,4,4,"35,000,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 3 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 230 m2 with 4 bathrooms.,230,4,4,"29,994,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 1 bedroom Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 74 m2 with 1 bathroom with a garden of 31 m2.,74,1,1,"6,626,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 3 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 263 m2 with 4 bathrooms and a roof of 50 m2.,263,4,4,"34,673,000 
              EGP"
Ras El Hekma,"Duplex, Hacienda West",A 2 bedrooms Duplex in Hacienda West by Palm Hills Developments. The Duplex size is 95 m2 with 3 bathrooms.,95,3,3,"35,090,600 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 112 m2 with 2 bathrooms.,112,2,2,"8,825,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 4 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 248 m2 with 5 bathrooms and a roof of 40 m2.,248,5,5,"36,388,000 
              EGP"
Ras El Hekma,"Penthouse, Hacienda West",A 2 bedrooms Penthouse in Hacienda West by Palm Hills Developments. The Penthouse size is 132 m2 with 3 bathrooms and a roof of 53 m2.,132,3,3,"21,943,600 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 120 m2 with 3 bathrooms.,120,3,3,"9,261,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 4 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 323 m2 with 6 bathrooms and a roof of 60 m2.,323,6,6,"40,077,000 
              EGP"
